CITY,COUNTRY,DATE,LATITUDE,LONGITUDE,MODEL,Monthly target,ORDERS,On time deliveries,PART,Production Cost,Production Type,QA pass rate,REVENUE,Repairs Processed,Shipping Cost,Shipping container utilization,Units produced,Warehouse Code,Warehouse Name,Warranties processed,Warranty claims,_BATCH_ID_,_BATCH_LAST_RUN_
Bangkok,Thailand,2024-10-07,13.9125996,100.607002,MTX-5000,735.0,676.0,0.88,Complete Bike,13737.0,Complete Bike,0.86,31105.2,18.0,246.98,0.82,885.0,VYB,Don Mueang International Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2024-10-07,12.2275,109.192001,RDX-USA,542.0,531.0,0.94,Brake Lever,164.0,Component,0.9,345.25,16.0,178.05,0.96,638.0,JFU,Nha Trang Plant,15.0,16.0,1.0,2025-05-03 13:29:46
Harbin,China,2024-10-07,45.6234016,126.25,RDX-USA,699.0,699.0,0.93,Rotors,298.0,Component,0.96,594.15,14.0,189.49,0.83,679.0,AIM,Taiping Warehouse,13.0,14.0,1.0,2025-05-03 13:29:46
Dalian,China,2024-10-07,38.9656982,121.539001,MTX-5000,658.0,651.0,0.93,Tires,336.0,Component,0.86,781.7,20.0,224.09,0.87,803.0,BAQ,Zhoushuizi Warehouse,9.0,10.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-11-06,21.0405006,105.886002,MTX-5000,631.0,568.0,0.91,Complete Bike,11010.0,Complete Bike,0.87,26123.4,24.0,217.4,0.86,779.0,AKR,Gia Lam Plant,11.0,12.0,1.0,2025-05-03 13:29:46
Hotan,China,2024-11-06,37.0385017,79.8648987,RDX-EU,666.0,666.0,0.97,Complete Bike,9210.0,Complete Bike,0.85,20646.0,16.0,195.63,0.92,701.0,OOQ,Hotan Warehouse,7.0,8.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2024-11-06,12.2275,109.192001,MTX-3500,693.0,631.0,0.91,Pedals,272.0,Component,0.83,536.04,42.0,191.44,0.9,686.0,JFU,Nha Trang Plant,39.0,42.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-11-06,21.2212009,105.806999,RDX-NZ,521.0,474.0,0.95,Brake Lever,143.0,Component,0.85,308.17,26.0,161.58,0.89,579.0,WUM,Noi Bai International Warehouse,12.0,13.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2024-11-06,16.0704002,103.646004,RDX-EU,455.0,423.0,0.98,Frame,4111.0,Component,0.96,8464.06,24.0,151.26,0.83,542.0,JRR,Rob Muang Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Dalian,China,2024-11-06,38.9656982,121.539001,RDX-EU,498.0,473.0,0.89,Pedals,196.0,Component,0.86,402.14,31.0,147.91,0.91,530.0,BAQ,Zhoushuizi Warehouse,29.0,31.0,1.0,2025-05-03 13:29:46
Hotan,China,2024-12-07,37.0385017,79.8648987,MTX-5000,755.0,755.0,0.93,Complete Bike,17554.0,Complete Bike,0.93,34730.0,12.0,242.23,0.86,868.0,OOQ,Hotan Warehouse,12.0,12.0,1.0,2025-05-03 13:29:46
Dalian,China,2024-12-07,38.9656982,121.539001,RDX-EU,841.0,748.0,0.9,Rear Cassette,477.0,Component,0.95,973.04,18.0,223.53,0.89,801.0,BAQ,Zhoushuizi Warehouse,17.0,18.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2025-01-06,16.0438995,108.198997,MTX-2000,259.0,231.0,0.94,Complete Bike,3228.0,Complete Bike,0.87,5762.75,6.0,86.95,0.88,312.0,DNG,Da Nang International Warehouse,5.0,6.0,1.0,2025-05-03 13:29:46
Bangkok,Thailand,2025-01-06,13.9125996,100.607002,RDX-EU,668.0,661.0,0.91,Complete Bike,9990.0,Complete Bike,0.96,20500.92,20.0,211.81,0.87,759.0,VYB,Don Mueang International Warehouse,19.0,20.0,1.0,2025-05-03 13:29:46
Kashi,China,2025-01-06,39.5429001,76.0199966,MTX-3500,465.0,446.0,0.98,Suspension,1239.0,Component,0.84,2678.4,33.0,145.67,0.84,522.0,PVP,Kashgar Warehouse,10.0,11.0,1.0,2025-05-03 13:29:46
Tokyo,Japan,2025-01-06,35.7647018,140.386002,MTX-2000,588.0,517.0,0.97,Brake Lever,210.0,Component,0.87,336.34,11.0,165.77,0.94,594.0,AZJ,Narita International Facility,10.0,11.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2025-01-06,12.2275,109.192001,MTX-2000,640.0,634.0,0.89,Frame,5275.0,Component,0.82,12673.58,18.0,212.65,0.88,762.0,JFU,Nha Trang Plant,8.0,9.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2025-01-06,16.4015007,107.703003,RDX-USA,757.0,712.0,0.87,Suspension,1766.0,Component,0.87,4269.48,40.0,227.16,0.95,814.0,CXO,Phu Bai Facility,9.0,10.0,1.0,2025-05-03 13:29:46
Futema,Japan,2025-02-06,26.2742996,127.755997,RDX-EU,718.0,675.0,0.88,Complete Bike,9160.0,Complete Bike,0.9,20922.52,8.0,227.72,0.94,816.0,IBV,Futenma Plant,8.0,8.0,1.0,2025-05-03 13:29:46
Hotan,China,2025-02-06,37.0385017,79.8648987,RDX-EU,618.0,556.0,0.98,Complete Bike,10090.0,Complete Bike,0.9,17242.2,10.0,210.42,0.87,754.0,OOQ,Hotan Warehouse,9.0,10.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2025-02-06,21.3945999,106.261002,RDX-NZ,811.0,730.0,0.89,Shifter-L,251.0,Component,0.95,401.45,22.0,226.33,0.89,811.0,WMZ,Kep Plant,10.0,11.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2025-02-06,14.9344997,102.079002,MTX-3500,887.0,860.0,0.91,Pedals,436.0,Component,0.83,731.33,62.0,233.58,0.95,837.0,YHK,Khorat Warehouse,56.0,62.0,1.0,2025-05-03 13:29:46
Mudanjiang,China,2025-02-06,44.5241013,129.569,MTX-2000,502.0,462.0,0.95,Suspension,1361.0,Component,0.82,2771.04,36.0,170.79,0.89,612.0,QAO,Mudanjiang Hailang International Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2025-02-06,16.4015007,107.703003,RDX-USA,555.0,516.0,0.92,Suspension,1353.0,Component,0.95,3096.9,48.0,161.3,0.92,578.0,CXO,Phu Bai Facility,11.0,12.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2025-02-06,24.4668999,122.977997,RDX-USA,847.0,762.0,0.98,Tires,373.0,Component,0.9,914.76,34.0,246.14,0.92,882.0,WRV,Yonaguni Warehouse,15.0,17.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2025-03-09,16.0438995,108.198997,RDX-NZ,342.0,318.0,0.96,Complete Bike,5483.0,Complete Bike,0.96,9223.74,16.0,89.18,0.87,320.0,DNG,Da Nang International Warehouse,8.0,8.0,1.0,2025-05-03 13:29:46
Bangkok,Thailand,2025-03-09,13.9125996,100.607002,MTX-2000,754.0,701.0,0.9,Complete Bike,7911.0,Complete Bike,0.94,17530.5,8.0,221.58,0.94,794.0,VYB,Don Mueang International Warehouse,7.0,8.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2025-03-09,21.0405006,105.886002,RDX-USA,731.0,694.0,0.95,Complete Bike,10475.0,Complete Bike,0.91,25694.65,12.0,198.14,0.86,710.0,AKR,Gia Lam Plant,11.0,12.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2025-03-09,16.4015007,107.703003,RDX-EU,495.0,485.0,0.89,Brake Lever,201.0,Component,0.86,315.32,11.0,144.0,0.94,516.0,CXO,Phu Bai Facility,11.0,11.0,1.0,2025-05-03 13:29:46
Phuquoc,Vietnam,2025-03-09,10.1698,103.9931,RDX-NZ,728.0,662.0,0.95,Rotors,282.0,Component,0.89,563.11,9.0,203.16,0.87,728.0,UAZ,Phu Quoc International Facility,8.0,9.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2025-03-09,24.4668999,122.977997,RDX-EU,683.0,608.0,0.89,Suspension,1974.0,Component,0.84,3647.22,54.0,224.09,0.83,803.0,WRV,Yonaguni Warehouse,17.0,18.0,1.0,2025-05-03 13:29:46
Bangkok,Thailand,2025-04-06,13.9125996,100.607002,MTX-2000,714.0,664.0,0.95,Complete Bike,9286.0,Complete Bike,0.86,16600.5,36.0,216.56,0.89,776.0,VYB,Don Mueang International Warehouse,17.0,18.0,1.0,2025-05-03 13:29:46
Urumqi,China,2025-04-06,43.9071007,87.4741974,RDX-NZ,578.0,566.0,0.87,Pedals,253.0,Component,0.92,481.47,56.0,156.56,0.84,561.0,ZBN,Ürümqi Diwopu International Warehouse,25.0,28.0,1.0,2025-05-03 13:29:46
Hotan,China,2024-07-07,37.0385017,79.8648987,MTX-5000,754.0,701.0,0.93,Complete Bike,16599.0,Complete Bike,0.93,32256.12,11.0,198.42,0.96,711.0,OOQ,Hotan Warehouse,10.0,11.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2024-07-07,14.9344997,102.079002,MTX-3500,513.0,462.0,0.96,Pedals,168.0,Component,0.82,392.45,76.0,149.02,0.82,534.0,YHK,Khorat Warehouse,36.0,38.0,1.0,2025-05-03 13:29:46
Mudanjiang,China,2024-07-07,44.5241013,129.569,MTX-2000,766.0,697.0,0.92,Shifter-L,178.0,Component,0.85,383.38,20.0,205.67,0.94,737.0,QAO,Mudanjiang Hailang International Warehouse,19.0,20.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2024-07-07,16.4015007,107.703003,MTX-5000,637.0,567.0,0.98,Tires,419.0,Component,0.91,680.32,16.0,199.81,0.87,716.0,CXO,Phu Bai Facility,8.0,8.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2024-07-07,23.3673725,119.502777,MTX-5000,719.0,661.0,0.97,Rear Cassette,492.0,Component,0.93,859.92,17.0,202.6,0.96,726.0,ZWY,Wang-an Facility,16.0,17.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-08-06,16.0438995,108.198997,MTX-2000,274.0,247.0,0.87,Complete Bike,5361.0,Complete Bike,0.82,9124.2,16.0,88.93,0.85,319.0,DNG,Da Nang International Warehouse,8.0,8.0,1.0,2025-05-03 13:29:46
Bangkok,Thailand,2024-08-06,13.9125996,100.607002,RDX-EU,740.0,673.0,0.91,Complete Bike,12177.0,Complete Bike,0.88,20875.4,38.0,208.47,0.84,747.0,VYB,Don Mueang International Warehouse,17.0,19.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-08-06,21.0405006,105.886002,RDX-NZ,800.0,792.0,0.97,Complete Bike,12178.0,Complete Bike,0.91,30096.0,11.0,227.72,0.94,816.0,AKR,Gia Lam Plant,11.0,11.0,1.0,2025-05-03 13:29:46
Phuquoc,Vietnam,2024-08-06,10.1698,103.9931,RDX-USA,662.0,622.0,0.88,Seat,316.0,Component,0.92,777.85,7.0,177.77,0.92,637.0,UAZ,Phu Quoc International Facility,7.0,7.0,1.0,2025-05-03 13:29:46
Urumqi,China,2024-08-06,43.9071007,87.4741974,RDX-USA,689.0,689.0,0.88,Brake Lever,186.0,Component,0.87,447.85,16.0,218.51,0.83,783.0,ZBN,Ürümqi Diwopu International Warehouse,14.0,16.0,1.0,2025-05-03 13:29:46
Futema,Japan,2024-09-06,26.2742996,127.755997,MTX-3500,743.0,669.0,0.91,Complete Bike,9232.0,Complete Bike,0.84,19392.3,36.0,233.02,0.94,835.0,IBV,Futenma Plant,17.0,18.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-09-06,21.0405006,105.886002,RDX-NZ,745.0,708.0,0.92,Complete Bike,14692.0,Complete Bike,0.83,26894.5,14.0,212.09,0.92,760.0,AKR,Gia Lam Plant,13.0,14.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-10-07,16.0438995,108.198997,MTX-5000,286.0,255.0,0.95,Complete Bike,3688.0,Complete Bike,0.9,7890.74,7.0,91.78,0.91,329.0,DNG,Da Nang International Warehouse,7.0,7.0,1.0,2025-05-03 13:29:46
Futema,Japan,2024-10-07,26.2742996,127.755997,MTX-2000,688.0,647.0,0.97,Complete Bike,8598.0,Complete Bike,0.84,16168.0,19.0,208.74,0.91,748.0,IBV,Futenma Plant,18.0,19.0,1.0,2025-05-03 13:29:46
Hotan,China,2024-10-07,37.0385017,79.8648987,MTX-5000,666.0,659.0,0.9,Complete Bike,18017.0,Complete Bike,0.87,30329.64,36.0,208.74,0.85,748.0,OOQ,Hotan Warehouse,17.0,18.0,1.0,2025-05-03 13:29:46
Loei,Thailand,2024-10-07,17.4391003,101.722,MTX-2000,843.0,767.0,0.95,Tires,578.0,Component,0.92,920.56,46.0,247.53,0.85,887.0,ETL,Loei Warehouse,22.0,23.0,1.0,2025-05-03 13:29:46
Mudanjiang,China,2024-10-07,44.5241013,129.569,RDX-NZ,763.0,717.0,0.93,Suspension,1932.0,Component,0.86,4303.32,48.0,208.74,0.91,748.0,QAO,Mudanjiang Hailang International Warehouse,16.0,16.0,1.0,2025-05-03 13:29:46
Shanghai,China,2024-10-07,31.1434002,121.805,MTX-3500,480.0,451.0,0.89,Brake Lines,33.0,Component,0.85,67.68,9.0,169.67,0.85,608.0,JCE,Shanghai Pudong International Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Urumqi,China,2024-10-07,43.9071007,87.4741974,MTX-5000,723.0,636.0,0.9,Brake Lever,235.0,Component,0.83,413.56,9.0,216.84,0.85,777.0,ZBN,Ürümqi Diwopu International Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-11-06,16.0438995,108.198997,MTX-3500,377.0,377.0,0.93,Complete Bike,7262.0,Complete Bike,0.88,17342.0,22.0,109.52,0.87,392.0,DNG,Da Nang International Warehouse,10.0,11.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-11-06,16.0438995,108.198997,MTX-5000,359.0,330.0,0.98,Complete Bike,4113.0,Complete Bike,0.95,9578.12,8.0,103.19,0.91,370.0,DNG,Da Nang International Warehouse,4.0,4.0,1.0,2025-05-03 13:29:46
Bangkok,Thailand,2024-11-06,13.9125996,100.607002,MTX-5000,760.0,737.0,0.96,Complete Bike,15192.0,Complete Bike,0.96,33911.2,12.0,238.33,0.91,854.0,VYB,Don Mueang International Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Kashi,China,2024-11-06,39.5429001,76.0199966,RDX-EU,629.0,629.0,0.93,Tires,353.0,Component,0.9,754.8,9.0,172.19,0.91,617.0,PVP,Kashgar Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2024-11-06,24.4668999,122.977997,MTX-5000,587.0,540.0,0.87,Seat,364.0,Component,0.85,675.05,22.0,165.49,0.96,593.0,WRV,Yonaguni Warehouse,10.0,11.0,1.0,2025-05-03 13:29:46
Urumqi,China,2024-11-06,43.9071007,87.4741974,MTX-3500,680.0,673.0,0.95,Suspension,1933.0,Component,0.82,4039.2,51.0,184.19,0.94,660.0,ZBN,Ürümqi Diwopu International Warehouse,16.0,17.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-12-07,21.0405006,105.886002,RDX-USA,699.0,615.0,0.87,Complete Bike,11444.0,Complete Bike,0.93,22759.44,48.0,243.91,0.91,874.0,AKR,Gia Lam Plant,23.0,24.0,1.0,2025-05-03 13:29:46
Mudanjiang,China,2024-12-07,44.5241013,129.569,RDX-NZ,608.0,602.0,0.93,Shifter-R,157.0,Component,0.96,331.06,20.0,192.84,0.91,691.0,QAO,Mudanjiang Hailang International Warehouse,9.0,10.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2024-12-07,12.2275,109.192001,MTX-2000,688.0,681.0,0.97,Brake Lever,287.0,Component,0.88,442.73,15.0,179.44,0.95,643.0,JFU,Nha Trang Plant,14.0,15.0,1.0,2025-05-03 13:29:46
Urumqi,China,2024-12-07,43.9071007,87.4741974,RDX-EU,794.0,738.0,0.88,Seat,444.0,Component,0.9,923.03,18.0,223.81,0.85,802.0,ZBN,Ürümqi Diwopu International Warehouse,17.0,18.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2025-01-06,21.0405006,105.886002,RDX-USA,744.0,699.0,0.97,Complete Bike,12609.0,Complete Bike,0.9,25876.32,26.0,216.28,0.85,775.0,AKR,Gia Lam Plant,12.0,13.0,1.0,2025-05-03 13:29:46
Urumqi,China,2025-01-06,43.9071007,87.4741974,RDX-EU,520.0,494.0,0.9,Brake Lever,161.0,Component,0.96,321.1,9.0,174.98,0.85,627.0,ZBN,Ürümqi Diwopu International Warehouse,9.0,9.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2025-02-06,16.0438995,108.198997,MTX-5000,290.0,290.0,0.93,Complete Bike,3772.0,Complete Bike,0.9,8410.0,14.0,88.81,0.83,318.0,DNG,Da Nang International Warehouse,7.0,7.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2025-02-06,21.0405006,105.886002,RDX-EU,793.0,722.0,0.98,Complete Bike,10379.0,Complete Bike,0.94,22370.53,20.0,228.28,0.84,818.0,AKR,Gia Lam Plant,19.0,20.0,1.0,2025-05-03 13:29:46
Hotan,China,2025-03-09,37.0385017,79.8648987,RDX-USA,657.0,624.0,0.94,Complete Bike,9587.0,Complete Bike,0.95,23093.55,9.0,215.72,0.86,773.0,OOQ,Hotan Warehouse,9.0,9.0,1.0,2025-05-03 13:29:46
Hualien,Taiwan,2025-03-09,24.0230999,121.617996,RDX-EU,746.0,746.0,0.93,Complete Bike,10553.0,Complete Bike,0.93,23126.0,12.0,216.84,0.96,777.0,DLS,Hualien Facility,11.0,12.0,1.0,2025-05-03 13:29:46
Nhatrang,Vietnam,2025-03-09,12.2275,109.192001,RDX-NZ,487.0,477.0,0.95,Suspension,1545.0,Component,0.91,2863.56,45.0,165.77,0.9,594.0,JFU,Nha Trang Plant,14.0,15.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2025-03-09,21.2212009,105.806999,MTX-5000,504.0,469.0,0.89,Steering,54.0,Component,0.92,126.51,9.0,154.6,0.9,554.0,WUM,Noi Bai International Warehouse,9.0,9.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2025-04-06,16.4015007,107.703003,RDX-NZ,646.0,614.0,0.88,Steering,90.0,Component,0.88,165.64,14.0,168.56,0.93,604.0,CXO,Phu Bai Facility,6.0,7.0,1.0,2025-05-03 13:29:46
Phuquoc,Vietnam,2025-04-06,10.1698,103.9931,RDX-NZ,756.0,688.0,0.88,Frame,6899.0,Component,0.84,13760.92,28.0,245.3,0.89,879.0,UAZ,Phu Quoc International Facility,13.0,14.0,1.0,2025-05-03 13:29:46
Shanghai,China,2025-04-06,31.1434002,121.805,RDX-EU,604.0,556.0,0.87,Brake Lever,231.0,Component,0.95,361.19,34.0,195.91,0.93,702.0,JCE,Shanghai Pudong International Warehouse,15.0,17.0,1.0,2025-05-03 13:29:46
Harbin,China,2025-04-06,45.6234016,126.25,RDX-USA,558.0,525.0,0.89,Seat,388.0,Component,0.94,655.65,14.0,183.07,0.87,656.0,AIM,Taiping Warehouse,6.0,7.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2025-04-06,24.4668999,122.977997,RDX-EU,615.0,560.0,0.87,Suspension,1954.0,Component,0.88,3357.9,60.0,202.05,0.84,724.0,WRV,Yonaguni Warehouse,14.0,15.0,1.0,2025-05-03 13:29:46
Futema,Japan,2024-07-07,26.2742996,127.755997,MTX-2000,724.0,659.0,0.95,Complete Bike,9325.0,Complete Bike,0.82,16471.0,28.0,240.56,0.85,862.0,IBV,Futenma Plant,13.0,14.0,1.0,2025-05-03 13:29:46
Hanoi,Vietnam,2024-07-07,21.0405006,105.886002,MTX-2000,874.0,830.0,0.87,Complete Bike,12331.0,Complete Bike,0.95,20757.5,32.0,243.91,0.87,874.0,AKR,Gia Lam Plant,14.0,16.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2024-07-07,21.3945999,106.261002,MTX-2000,645.0,574.0,0.98,Steering,85.0,Component,0.88,154.94,11.0,183.63,0.91,658.0,WMZ,Kep Plant,10.0,11.0,1.0,2025-05-03 13:29:46
Wajima,Japan,2024-07-07,37.2930984,136.962006,MTX-5000,807.0,767.0,0.94,Tires,581.0,Component,0.92,919.98,34.0,244.74,0.95,877.0,DFQ,Noto Warehouse,16.0,17.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2024-07-07,10.8188,106.652,MTX-2000,740.0,710.0,0.96,Rear derailleur,354.0,Component,0.88,667.78,36.0,194.79,0.9,698.0,QGX,Tan Son Nhat International Facility,17.0,18.0,1.0,2025-05-03 13:29:46
Urumqi,China,2024-07-07,43.9071007,87.4741974,RDX-EU,689.0,682.0,0.89,Tires,481.0,Component,0.94,818.53,16.0,218.51,0.9,783.0,ZBN,Ürümqi Diwopu International Warehouse,7.0,8.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2024-08-06,14.9344997,102.079002,MTX-2000,549.0,544.0,0.96,Seat,340.0,Component,0.85,679.39,16.0,143.16,0.88,513.0,YHK,Khorat Warehouse,8.0,8.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2024-08-06,16.0704002,103.646004,MTX-3500,754.0,754.0,0.93,Rotors,313.0,Component,0.85,640.9,14.0,216.84,0.91,777.0,JRR,Rob Muang Warehouse,13.0,14.0,1.0,2025-05-03 13:29:46
Harbin,China,2024-08-06,45.6234016,126.25,MTX-2000,476.0,443.0,0.93,Rear derailleur,168.0,Component,0.96,416.12,12.0,162.14,0.93,581.0,AIM,Taiping Warehouse,12.0,12.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2024-08-06,23.3673725,119.502777,MTX-3500,655.0,648.0,0.98,Shifter-R,165.0,Component,0.96,356.65,32.0,203.16,0.82,728.0,ZWY,Wang-an Facility,14.0,16.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-09-06,16.0438995,108.198997,MTX-5000,362.0,340.0,0.96,Complete Bike,5993.0,Complete Bike,0.91,12930.64,18.0,101.95,0.83,365.0,DNG,Da Nang International Warehouse,8.0,9.0,1.0,2025-05-03 13:29:46
Nakhon Ratchasima,Thailand,2024-09-06,14.9344997,102.079002,RDX-EU,736.0,662.0,0.96,Brake Lever,192.0,Component,0.88,430.56,11.0,247.53,0.91,887.0,YHK,Khorat Warehouse,10.0,11.0,1.0,2025-05-03 13:29:46
Urumqi,China,2024-09-06,43.9071007,87.4741974,RDX-NZ,644.0,580.0,0.97,Pedals,214.0,Component,0.82,492.66,62.0,172.74,0.94,619.0,ZBN,Ürümqi Diwopu International Warehouse,30.0,31.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-10-07,16.0438995,108.198997,RDX-USA,288.0,268.0,0.96,Complete Bike,5165.0,Complete Bike,0.92,9910.08,12.0,97.98,0.95,351.0,DNG,Da Nang International Warehouse,6.0,6.0,1.0,2025-05-03 13:29:46
Kashi,China,2024-10-07,39.5429001,76.0199966,RDX-EU,764.0,703.0,0.9,Pedals,249.0,Component,0.83,597.45,80.0,219.91,0.96,788.0,PVP,Kashgar Warehouse,39.0,40.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2024-10-07,16.4015007,107.703003,MTX-3500,583.0,513.0,0.97,Brake Lines,44.0,Component,0.87,76.96,36.0,189.21,0.85,678.0,CXO,Phu Bai Facility,17.0,18.0,1.0,2025-05-03 13:29:46
Phuquoc,Vietnam,2024-10-07,10.1698,103.9931,RDX-EU,573.0,533.0,0.96,Wheels,305.0,Component,0.87,746.05,6.0,153.77,0.92,551.0,UAZ,Phu Quoc International Facility,6.0,6.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2024-10-07,16.0704002,103.646004,RDX-EU,766.0,766.0,0.96,Seat,622.0,Component,0.96,957.5,19.0,213.77,0.84,766.0,JRR,Rob Muang Warehouse,18.0,19.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2024-10-07,10.8188,106.652,MTX-5000,490.0,451.0,0.87,Shifter-R,143.0,Component,0.87,247.94,14.0,140.93,0.89,505.0,QGX,Tan Son Nhat International Facility,6.0,7.0,1.0,2025-05-03 13:29:46
Danang,Vietnam,2024-11-06,16.0438995,108.198997,MTX-2000,372.0,331.0,0.87,Complete Bike,5453.0,Complete Bike,0.94,12581.04,8.0,111.5,0.87,400.0,DNG,Da Nang International Warehouse,7.0,8.0,1.0,2025-05-03 13:29:46
Hualien,Taiwan,2024-11-06,24.0230999,121.617996,MTX-5000,669.0,649.0,0.98,Complete Bike,18955.0,Complete Bike,0.96,29850.78,18.0,219.63,0.84,787.0,DLS,Hualien Facility,16.0,18.0,1.0,2025-05-03 13:29:46
Hue,Vietnam,2024-11-06,16.4015007,107.703003,MTX-2000,510.0,500.0,0.88,Front derailleur ,139.0,Component,0.87,334.87,11.0,171.35,0.87,614.0,CXO,Phu Bai Facility,11.0,11.0,1.0,2025-05-03 13:29:46
Wang An,Taiwan,2024-11-06,23.3673725,119.502777,RDX-NZ,603.0,549.0,0.97,Tires,316.0,Component,0.85,658.48,18.0,177.21,0.94,635.0,ZWY,Wang-an Facility,8.0,9.0,1.0,2025-05-03 13:29:46
Futema,Japan,2024-12-07,26.2742996,127.755997,RDX-NZ,705.0,677.0,0.92,Complete Bike,13446.0,Complete Bike,0.86,25718.4,36.0,245.86,0.95,881.0,IBV,Futenma Plant,17.0,18.0,1.0,2025-05-03 13:29:46
Kep,Vietnam,2024-12-07,21.3945999,106.261002,MTX-3500,413.0,392.0,0.97,Shifter-L,120.0,Component,0.9,215.79,22.0,145.95,0.84,523.0,WMZ,Kep Plant,11.0,11.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2024-12-07,36.1668015,137.923004,MTX-2000,725.0,703.0,0.95,Brake Lever,219.0,Component,0.85,457.11,30.0,206.51,0.95,740.0,KOB,Matsumoto Facility,14.0,15.0,1.0,2025-05-03 13:29:46
Roi Et,Thailand,2024-12-07,16.0704002,103.646004,RDX-USA,566.0,509.0,0.94,Brake Lever,155.0,Component,0.82,331.11,24.0,147.63,0.86,529.0,JRR,Rob Muang Warehouse,11.0,12.0,1.0,2025-05-03 13:29:46
Shanghai,China,2024-12-07,31.1434002,121.805,RDX-USA,906.0,879.0,0.96,Wheel hubs,559.0,Component,0.87,1265.5,40.0,247.81,0.89,888.0,JCE,Shanghai Pudong International Warehouse,18.0,20.0,1.0,2025-05-03 13:29:46
Ho Chi Minh City,Vietnam,2024-12-07,10.8188,106.652,RDX-EU,724.0,644.0,0.98,Steering,105.0,Component,0.87,173.91,22.0,246.42,0.86,883.0,QGX,Tan Son Nhat International Facility,20.0,22.0,1.0,2025-05-03 13:29:46
Yonaguni Jima,Japan,2024-12-07,24.4668999,122.977997,MTX-5000,743.0,669.0,0.95,Seat,341.0,Component,0.95,835.88,10.0,241.12,0.9,864.0,WRV,Yonaguni Warehouse,10.0,10.0,1.0,2025-05-03 13:29:46
Matsumoto,Japan,2025-01-06,36.1668015,137.923004,RDX-EU,736.0,699.0,0.9,Brake Lever,211.0,Component,0.92,454.48,34.0,209.58,0.96,751.0,KOB,Matsumoto Facility,16.0,17.0,1.0,2025-05-03 13:29:46
Mudanjiang,China,2025-01-06,44.5241013,129.569,RDX-NZ,583.0,577.0,0.88,Suspension,1390.0,Component,0.96,3463.02,32.0,178.88,0.92,641.0,QAO,Mudanjiang Hailang International Warehouse,8.0,8.0,1.0,2025-05-03 13:29:46
Harbin,China,2025-01-06,45.6234016,126.25,RDX-EU,882.0,829.0,0.9,Brake Lines,70.0,Component,0.92,124.36,34.0,232.19,0.96,832.0,AIM,Taiping Warehouse,15.0,17.0,1.0,2025-05-03 13:29:46
